Date,open,high,low,close,volume,price,market_cap,next_day_movement
5/12/2025,0.00012761,0.0001438,0.00012759,0.00013198,1960.859093,0.000131976,131190.8617,up
5/13/2025,,,,,181652.1887,0.000199844,201720.7998,up
5/14/2025,,,,,240032.4395,0.00023343,230634.7357,down
5/15/2025,,,,,36691.54078,0.000180057,179974.2083,down
5/16/2025,0.00013139,0.00031462,0.00012817,0.00014757,18057.43048,0.000147802,147775.156,up
5/17/2025,,,,,12502.3234,0.000149232,149163.0519,up
5/18/2025,,,,,3855.470786,0.000155546,155474.3145,down
5/19/2025,,,,,24878.27465,0.000143062,143729.3186,up
5/20/2025,0.00014757,0.00018725,0.00013471,0.00015192,5377.907321,0.000151925,151854.4297,down
5/21/2025,,,,,6020.026658,0.000150698,150613.7741,up
5/22/2025,,,,,1136.935664,0.000153356,153292.9687,up
5/23/2025,,,,,2922.608185,0.000160379,160319.2954,up
5/24/2025,0.00015191,0.00019196,0.00014234,0.00017105,19761.84173,0.00017105,170970.7189,up
5/25/2025,,,,,3077.643751,0.000173676,173595.2329,down
5/26/2025,,,,,3410.47887,0.000170125,170046.1952,down
5/27/2025,,,,,2420.877638,0.000166575,166097.492,up
5/28/2025,0.00017247,0.00019165,0.00016238,0.00017877,12406.96696,0.000178765,178681.9087,down
5/29/2025,,,,,27222.77627,0.000160718,160655.8099,up
5/30/2025,,,,,7782.340939,0.000163706,163627.8974,down
5/31/2025,,,,,9548.493927,0.000132003,131939.4608,up
6/1/2025,0.00017873,0.00019832,0.00011974,0.00013273,5080.396076,0.000132729,132677.3829,up
6/2/2025,,,,,2063.415832,0.000139881,139112.052,up
6/3/2025,,,,,2053.661439,0.000140548,140479.8335,up
6/4/2025,,,,,3172.71454,0.000141793,142428.6538,down
6/5/2025,0.00013274,0.00015876,0.00012543,0.00012707,8799.432518,0.000127068,127007.4238,up
6/6/2025,,,,,13876.17752,0.000135892,135825.6668,down
6/7/2025,,,,,9595.773287,0.000122394,122334.7175,up
6/8/2025,,,,,2027.494178,0.000124532,124459.9271,down
6/9/2025,0.00012708,0.00015694,0.00012119,0.00012381,1206.579034,0.00012381,123749.7591,up
6/10/2025,,,,,247.5754863,0.000130199,130135.7699,down
